"i_code","region_abbr","wtw_name_en","wtw_name_cn","wtw_name_tc","tag_name_en","tag_name_cn","tag_name_tc","units","tag_type","dim_update_time","dim_load_time"
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15001FI_TLC_inFlow,水厂入水-大榄涌原水瞬时流量,水廠入水-大欖湧原水瞬時流量,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO503AI_Final_pH,水厂出水-食水水质PH,水廠出水-食水水質PH,,PH,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO504AI,水厂出水-食水水质余氯,水廠出水-食水水質餘氯,mg/L,CHLORINE,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15403AI,水厂入水-综合水质PH,水廠入水-綜合水質PH,,PH,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55001YL1,水厂出水-1号泵启停状态,水廠出水-1號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15401AI,水厂入水-大榄涌原水PH,水廠入水-大欖湧原水PH,,PH,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow_counter1,水厂入水-大榄涌原水累计流量1,水廠入水-大欖湧原水累計流量1,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow,水厂入水-大榄涌原水瞬时流量,水廠入水-大欖湧原水瞬時流量,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55002YL1,水厂出水-2号泵启停状态,水廠出水-2號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow_counter1,水厂出水-累计流量1,水廠出水-累計流量1,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO571PI,水厂清水池-液位,水廠清水池-液位,m,LEVEL,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15402AI,水厂入水-石壁原水PH,水廠入水-石壁原水PH,,PH,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55005YL1,水厂出水-5号泵启停状态,水廠出水-5號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15503AI,水厂入水-综合水质浊度,水廠入水-綜合水質濁度,NTU,TURBIDITY,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55004YL1,水厂出水-4号泵启停状态,水廠出水-4號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO502AI_FinalTurb,水厂出水-食水水质浊度,水廠出水-食水水質濁度,NTU,TURBIDITY,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO501AI,水厂出水-食水水质氟,水廠出水-食水水質氟,mg/L,FLUORIDE,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55003YL1,水厂出水-3号泵启停状态,水廠出水-3號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15002FI1_SP_inFlow,水厂入水-石壁原水瞬时流量,水廠入水-石壁原水瞬時流量,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15501AI,水厂入水-大榄涌原水浊度,水廠入水大欖湧原水濁度,NTU,TURBIDITY,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO572PI,水厂出水-压力,水廠出水-壓力,m,PRESSURE,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO55006YL1,水厂出水-6号泵启停状态,水廠出水-6號泵浦啟停狀態,,PMP_S/S_STS,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,MO570FI,水厂出水-瞬时流量,水廠出水-瞬時流量,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,AO15502AI,水厂入水-石壁原水浊度,水廠入水-石壁原水濁度,NTU,TURBIDITY,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow_counter2,水厂出水-累计流量2,水廠出水-累計流量2,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F570_Flow,水厂出水-瞬时流量,水廠出水-瞬時流量,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
TW025,HKI,Siu Ho Wan WTW,小蚝湾滤水厂,小蠔灣濾水廠,Hart_F150_1_Flow_counter2,水厂入水-大榄涌原水累计流量2,水廠入水-大欖湧原水累計流量2,MLD,FLOW,2026-02-02 14:12:53.699,2026-02-02 14:12:53.699
